"title","release_period","whether_remake","whether_franchise","genre","new_actor","new_director","new_music_director","lead_star","director","music_director","number_of_screens","revenue_inr","budget_inr","writers.x","sequel.x","hit_flop.x","date","month","year","writers.y","sequel.y","hit_flop.y","era"
"kaccha limboo","holiday","no","no","drama","yes","no","yes","karan bhanushali","sagar ballary","amardeep nijjer",75,15000000,825000,"sagar ballary | jyoti kapoor (dialogue) | manaswini lata ravindra",0,1,"18","feb","2011","sagar ballary | jyoti kapoor (dialogue) | manaswini lata ravindra","0",1,"new"
"not a love story","holiday","no","no","thriller","no","no","no","mahie gill","ram gopal verma","sandeep chowta",525,75000000,56700000,"rohit g. banawlikar (screenplay)",0,2,"19","aug","2011","rohit g. banawlikar (screenplay)","0",2,"new"
"future to bright hai ji","holiday","no","no","drama","no","yes","yes","aamir bashir","sanjay amar","amir ali",30,15000000,825000,"sanjay amar",0,1,"02","nov","2012","sanjay amar","0",1,"new"
"ghajini","holiday","yes","no","action","no","yes","no","aamir khan","a.r. murugadoss","a.r. rehman",1550,520000000,1945820000,"piyush mishra (dialogue) | a.r. murugadoss (story)",0,8,"25","dec","2008","piyush mishra (dialogue) | a.r. murugadoss (story)","0",8,"old"
"taare zameen par","holiday","no","no","drama","no","yes","no","aamir khan","aamir khan","shankar - ehsaan - loy",500,180000000,875785000,"amole gupte (dialogue & screenplay) | amole gupte (story)",0,7,"21","dec","2007","amole gupte (dialogue & screenplay) | amole gupte (story)","0",7,"old"
"fanaa","normal","no","no","love_story","no","no","no","aamir khan","kunal kohli","jatin - lalit",650,300000000,1054800000,"shibani bathija (screenplay) | shibani bathija (story) | shibani bathija",0,7,"26","may","2006","shibani bathija (screenplay) | shibani bathija (story) | shibani bathija","0",7,"old"
"3 idiots","holiday","no","no","drama","no","no","no","aamir khan","rajkumar hirani","shantanu moitra",1750,770000000,3491035000,"rajkumar hirani | abhijit joshi | vidhu vinod chopra (screenplay)",0,9,"25","dec","2009","rajkumar hirani | abhijit joshi | vidhu vinod chopra (screenplay)","0",9,"old"
"pk","normal","no","no","drama","no","no","no","aamir khan","rajkumar hirani","ajay - atul",3600,1220000000,6160362500,"rajkumar hirani | abhijit joshi | sreerag nambiar",0,9,"19","dec","2014","rajkumar hirani | abhijit joshi | sreerag nambiar","0",9,"new"
"rang de basanti","holiday","no","no","drama","no","no","no","aamir khan","rakesh omprakash mehra","a.r. rehman",600,280000000,979080000,"renzil d'silva (screenplay) | rakeysh omprakash mehra (screenplay) | kamlesh pandey (story)",0,6,"26","jan","2006","renzil d'silva (screenplay) | rakeysh omprakash mehra (screenplay) | kamlesh pandey (story)","0",6,"old"
"talaash","normal","no","no","thriller","no","no","no","aamir khan","reema kagti","ram sampath",2550,710000000,1729717500,"farhan akhtar (dialogue) | anurag kashyap (additional dialogue) | zoya akhtar (story) | reema kagti (story) | zoya akhtar (screenplay) | reema kagti (screenplay)",0,5,"30","nov","2012","farhan akhtar (dialogue) | anurag kashyap (additional dialogue) | zoya akhtar (story) | reema kagti (story) | zoya akhtar (screenplay) | reema kagti (screenplay)","0",5,"new"
"say yes to love","normal","no","no","love_story","yes","no","no","aasad mirza","mahrukh mirza","jatin pandit",30,17500000,525000,"marukh mirza beig",0,1,"16","mar","2012","marukh mirza beig","0",1,"new"
"dev d","holiday","no","no","drama","no","no","no","abhay deol","anurag kashyap","amit trivedi",525,110000000,208200000,"saratchandra chatterjee (novel) | abhay deol (concept) | vikramaditya motwane | anurag kashyap",0,4,"06","feb","2009","saratchandra chatterjee (novel) | abhay deol (concept) | vikramaditya motwane | anurag kashyap","0",4,"old"
"one by two","normal","no","no","rom__com","no","yes","no","abhay deol","devika bhagat","shankar - ehsaan - loy",500,210000000,37700000,"devika bhagat (dialogue) | devika bhagat (story) | manoj tapadia (dialogue)",0,1,"31","jan","2014","devika bhagat (dialogue) | devika bhagat (story) | manoj tapadia (dialogue)","0",1,"new"
"oye lucky! lucky oye!","normal","no","no","comedy","no","no","no","abhay deol","dibakar banerjee","sneha khanwalkar",400,120000000,100620000,"dibakar banerjee (screenplay) | urmi juvekar (screenplay) | manu rishi chadha (dialogues)",0,2,"28","nov","2008","dibakar banerjee (screenplay) | urmi juvekar (screenplay) | manu rishi chadha (dialogues)","0",2,"old"
"socha na tha","holiday","no","no","rom__com","yes","yes","no","abhay deol","imtiaz ali","sandesh shandilya",110,50000000,52800000,"imtiaz ali",0,2,"04","mar","2005","imtiaz ali","0",2,"old"
"manorama six feet under","normal","no","no","suspense","no","yes","yes","abhay deol","navdeep singh","jayesh gandhi",75,32500000,5800000,"devika bhagat (story) | navdeep singh (story) | manoj tapadia (dialogue) | abhinav kashyap (dialogue)",0,1,"21","sep","2007","devika bhagat (story) | navdeep singh (story) | manoj tapadia (dialogue) | abhinav kashyap (dialogue)","0",1,"old"
"honeymoon travels pvt. ltd.","normal","no","no","rom__com","no","yes","no","abhay deol","reema kagti","vishal - shekhar",350,100000000,195160000,"reema kagti | anurag kashyap (dialogue)",0,4,"23","feb","2007","reema kagti | anurag kashyap (dialogue)","0",4,"old"
"ek chalis ki last local","normal","no","no","comedy","no","yes","no","abhay deol","sanjay khanduri","sandesh shandilya",140,35000000,25000000,"sanjay m. khanduri | raghuvir shekhawat (dialogue)",0,1,"18","may","2007","sanjay m. khanduri | raghuvir shekhawat (dialogue)","0",1,"old"
"ahista ahista","holiday","no","no","love_story","no","yes","no","abhay deol","shivam nair","himesh reshammiya",200,40000000,23100000,"imtiaz ali (story) | arif ali (dialogue) | rajiv b menon (additional dialogue)",0,1,"18","aug","2006","imtiaz ali (story) | arif ali (dialogue) | rajiv b menon (additional dialogue)","0",1,"old"
"lottery","holiday","no","no","drama","yes","yes","yes","abhijeet sawant","hemant prabhu","santosh singh",40,17500000,425000,"aadesh k. arjun (dialogue) | hemant prabhu (screenplay)",0,1,"20","mar","2009","aadesh k. arjun (dialogue) | hemant prabhu (screenplay)","0",1,"old"
"chakradhaar","normal","no","no","action","yes","yes","no","abhishek anand","dharam prakash","anand raj anand",250,45000000,6300000,"dharam prakash | arsh rana",0,1,"15","jun","2012","dharam prakash | arsh rana","0",1,"new"
"players","normal","yes","no","action","no","no","no","abhishek bachchan","abbas - mustan","pritam",1900,550000000,485600000,"nikhat bhatty (story) | bhaskar hazarika (story) | rohit jugraj (screenplay) | sourabh ratnu (story) | sudip sharma (screenplay)",0,1,"06","jan","2012","nikhat bhatty (story) | bhaskar hazarika (story) | rohit jugraj (screenplay) | sourabh ratnu (story) | sudip sharma (screenplay)","0",1,"new"
"game","holiday","yes","no","thriller","no","yes","no","abhishek bachchan","abhinay deo","shankar - ehsaan - loy",1100,340000000,128792500,"farhan akhtar (dialogue) | javed akhtar (lyrics)",0,1,"01","apr","2011","farhan akhtar (dialogue) | javed akhtar (lyrics)","0",1,"new"
"khelein hum jee jaan sey","normal","no","no","drama","no","no","no","abhishek bachchan","ashutosh gowariker","sohail sen",750,390000000,76653750,"javed akhtar (lyrics) | ashutosh gowariker (screenplay) | vijay maurya (dialogue writer) | raoul randolf (screenplay)",0,1,"03","dec","2010","javed akhtar (lyrics) | ashutosh gowariker (screenplay) | vijay maurya (dialogue writer) | raoul randolf (screenplay)","0",1,"new"
"drona","holiday","no","no","action","no","no","no","abhishek bachchan","goldie behl","dhruv ghanekar",750,430000000,180660000,"goldie behl | rohini killough (screenplay) | vaibhav modi (lyrics) | jaydeep sarkar (screenplay)",0,1,"02","oct","2008","goldie behl | rohini killough (screenplay) | vaibhav modi (lyrics) | jaydeep sarkar (screenplay)","0",1,"old"
"guru","holiday","no","no","drama","no","no","no","abhishek bachchan","mani ratnam","a.r. rehman",650,220000000,836710000,"mani ratnam (screenplay) | vijay krishna acharya (dialogue) | anurag kashyap (additional dialogue) | sujatha (additional dialogue) | suhasini (additional dialogue)",0,6,"12","jan","2007","mani ratnam (screenplay) | vijay krishna acharya (dialogue) | anurag kashyap (additional dialogue) | sujatha (additional dialogue) | suhasini (additional dialogue)","0",6,"old"
"raavan","normal","yes","no","action","no","no","no","abhishek bachchan","mani ratnam","a.r. rehman",1350,550000000,495722500,"mani ratnam (screenplay) | vijay krishna acharya (dialogue)",0,2,"18","jun","2010","mani ratnam (screenplay) | vijay krishna acharya (dialogue)","0",2,"new"
"dum maaro dum","holiday","no","no","thriller","no","no","no","abhishek bachchan","rohan sippy","pritam",1350,310000000,511940000,"charudutt acharya (dialogue) | purva naresh (dialogue) | shridhar raghavan (dialogue) | shridhar raghavan",0,2,"22","apr","2011","charudutt acharya (dialogue) | purva naresh (dialogue) | shridhar raghavan (dialogue) | shridhar raghavan","0",2,"new"
"bunty aur babli","normal","no","no","comedy","no","no","no","abhishek bachchan","shaad ali","shankar - ehsaan - loy",475,125000000,637405000,"aditya chopra (story) | jaideep sahni (screenplay) | jaideep sahni (dialogue)",0,7,"27","may","2005","aditya chopra (story) | jaideep sahni (screenplay) | jaideep sahni (dialogue)","0",7,"old"
"jhoom barabar jhoom","normal","no","no","rom__com","no","no","no","abhishek bachchan","shaad ali","shankar - ehsaan - loy",950,270000000,485250000,"habib faisal (screenplay) | anurag kashyap (story)",0,3,"15","jun","2007","habib faisal (screenplay) | anurag kashyap (story)","0",3,"old"
"dostana","normal","no","no","rom__com","no","yes","no","abhishek bachchan","tarun mansukhani","vishal - shekhar",1000,400000000,871517500,"anvita dutt guptan (dialogue script) | tarun mansukhani (first story)",0,4,"14","nov","2008","anvita dutt guptan (dialogue script) | tarun mansukhani (first story)","0",4,"old"
"hum hai raahi car ke","holiday","no","no","rom__com","no","no","no","adah sharma","jyotin goel","sangeet - siddharth",300,50000000,8200000,"jyotin goel",0,1,"24","may","2013","jyotin goel","0",1,"new"
"contract","normal","no","no","thriller","yes","no","no","adhvik mahajan","ram gopal verma","amar mohile",350,75000000,36400000,"mehboob (lyrics) | prashant pandey (story)",0,2,"18","jul","2008","mehboob (lyrics) | prashant pandey (story)","0",2,"old"
"dehraadun diary","normal","no","no","thriller","no","no","no","adhyayan suman","milind ukey","hanif sheikh",175,42500000,3400000,"aseem arora (screenplay) | aseem arora (script)",0,1,"04","jan","2013","aseem arora (screenplay) | aseem arora (script)","0",1,"new"
